pixel_nest,prior
0,0.48309810398924646
1,0.48101804822201694
2,0.5003216871095986
3,0.4873567686676927
4,0.484396359287708
5,0.49588549342368016
6,0.4931781557827029
7,0.49673277891386947
8,0.4972005000915524
9,0.47925346655644296
10,0.4854410086794688
11,0.48078745568163905
12,0.4797712195200114
13,0.4771799953628131
14,0.48653742412470163
15,0.5115108805980624
16,0.4978347618429909
17,0.4784492926426903
18,0.4862389737433637
19,0.47788400018859367
20,0.4718455690048293
21,0.47934361527861663
22,0.4870962538870516
23,0.47075127766742253
24,0.47954524184566416
25,0.4724946099446792
26,0.4798241431560948
27,0.4785326497021889
28,0.4798092257733846
29,0.4779630945048978
30,0.5203109669027962
31,0.4750200510559772
32,0.4834616549810735
33,0.4848047540928682
34,0.5068202308055529
35,0.48227660139290346
36,0.48440440755560454
37,0.4798202545455546
38,0.5033707869396956
39,0.48494453783415964
40,0.47732962943533425
41,0.47457244276050503
42,0.4849418605283257
43,0.4696366527034075
44,0.5103692251982193
45,0.46806504236418983
46,0.4977229546070831
47,0.4795301845924102
48,0.5094057753186889
49,0.47634568790320014
50,0.5059869879364906
51,0.4802993005280453
52,0.47834218184570126
53,0.47283843358882577
54,0.48626729500494587
55,0.47386819817783604
56,0.4804171394394555
57,0.4775483983905258
58,0.47510854267869884
59,0.4696248289605306
60,0.4734627578595746
61,0.4702409009830228
62,0.47692851173298434
63,0.559968673875541
64,0.47466343419573637
65,0.4710147588134842
66,0.47219170717898457
67,0.46922308170121024
68,0.4752953842401002
69,0.46861794348754165
70,0.46969029311909843
71,0.4703768698312141
72,0.4725369561155886
73,0.4742479021415515
74,0.46678647141077134
75,0.47061325689988165
76,0.4807749694270977
77,0.4718676963792557
78,0.4691055007108918
79,0.4701447103237775
80,0.46810420368953487
81,0.4682603751641071
82,0.468846602506002
83,0.46700227652866333
84,0.4678633546742734
85,0.46835913848909405
86,0.46923180393943725
87,0.46757523682501434
88,0.4683547282112628
89,0.46794994430856407
90,0.46888599761808675
91,0.46649948146430614
92,0.4674339951593754
93,0.4701245519144599
94,0.47029018596007427
95,0.4697361423125719
96,0.4708022571004404
97,0.46920920667242866
98,0.46851434806361014
99,0.4710012352554487
100,0.47315546921797097
101,0.4697900371478502
102,0.46821200467189483
103,0.468011794620943
104,0.47130824211396116
105,0.46728997778119613
106,0.4720306025316232
107,0.4684334905935575
108,0.4680751650274393
109,0.46924055150128363
110,0.4692786205570912
111,0.46849991330511315
112,0.4691134653892178
113,0.4817559553989445
114,0.4685416613570321
115,0.4671510186627231
116,0.469252926392447
117,0.4682255692154028
118,0.47289370436319217
119,0.4687455911735597
120,0.46795304381195746
121,0.4677848038283713
122,0.4697710735433292
123,0.4692496750992968
124,0.46644121925593296
125,0.47648471103437345
126,0.4716510783063084
127,0.4688614836173385
128,0.49006710297313105
129,0.4668110790953709
130,0.48711353160828963
131,0.5072858790965993
132,0.46644121925593296
133,0.47342325135659485
134,0.48092081799352665
135,0.4774894814581313
136,0.4775529505942375
137,0.48483311093038656
138,0.4861898063460236
139,0.47405056847575616
140,0.4718434712883364
141,0.48644159463802444
142,0.47688433372160677
143,0.472795399215727
144,0.475831033195632
145,0.47197888040660035
146,0.47153855169338516
147,0.4781152752228706
148,0.4786182847155812
149,0.47893438430582375
150,0.47071836086642893
151,0.4688162361390429
152,0.47510277621638264
153,0.47291434508417884
154,0.475901745046062
155,0.46996729780355373
156,0.4694730173610487
157,0.4691085773840933
158,0.47114325479363356
159,0.47077523111108915
160,0.4776628683008253
161,0.4721420670153257
162,0.479778671687261
163,0.47651365161242615
164,0.47216028065687093
165,0.472721641411734
166,0.4705898956469056
167,0.47021562005672535
168,0.48223096961163725
169,0.4851220257126565
170,0.46856944703089276
171,0.4699601657510554
172,0.4712177595880523
173,0.46914267149384264
174,0.4694624572222674
175,0.4678823091203567
176,0.4778757869923104
177,0.46938704244264207
