t r0x r0y r0z v0x v0y v0z r1x r1y r1z v1x v1y v1z r2x r2y r2z v2x v2y v2z
0.0 925.1052355990872 441.6116419477651 -0.0 -270.8074404549829 -61.322470740112735 -0.0 -0.040884181054544555 -0.00044117047147628884 0.0 0.0002705369035514315 -0.8713297002173891 -0.47604305185490065 39.959075818945465 -0.00044117047147628884 0.0 0.0002705369035514315 871.3910226881293 476.0430518549007
0.001 924.834411187691 441.55031137525935 3.306562988865989e-13 -270.8413851663534 -61.33867603721841 9.939669732432054e-10 -0.04087157457126423 -0.0013124104936088944 -0.00047599406491499133 0.02494116018204736 -0.8710606795907256 -0.4758960940598818 39.94674016007654 0.8708601822336353 0.4759940649149911 -24.670318796881002 871.122018266763 475.89609405988085
0.005 923.75077384014 441.3048268731651 4.224498485589353e-11 -270.9773339706636 -61.40360333439748 2.555331231227607e-08 -0.040574810365611814 -0.004786618323173723 -0.0023740964272487785 0.1233192107149091 -0.8646128090302724 -0.4723736417489332 39.65105959177167 4.345313496300559 2.3740964272487366 -123.04823338093846 864.6742126336069 472.3736417489077
0.012045382343754029 921.8407895579231 440.87181100844873 6.070108642718206e-10 -271.2174503946562 -61.51837730056021 1.5293091925023837e-07 -0.039104315422783295 -0.010780649946887468 -0.005648887148748075 0.29305058253036154 -0.8325878381511723 -0.45487838305186823 38.18247463322537 10.339778135879019 5.648887148747468 -292.7793650799669 832.6493565284729 454.87838305171533
0.019090765333974757 919.9291103935205 440.43798460513284 2.4492210734768067e-09 -271.4584178133676 -61.633683410146716 3.871626842154149e-07 -0.036466544333337625 -0.016458578684552333 -0.008750990518858253 0.4538316111664224 -0.7751086094984281 -0.42347740024664793 35.5466152229441 16.0181406999472 8.750990518855804 -453.560152748609 775.1702431818384 423.4774002462608
0.026136149486137294 918.0157301927632 440.0033438684595 6.283678364752713e-09 -271.70024142172633 -61.7495255495158 7.151803713171694e-07 -0.03274207551542278 -0.021646816162602906 -0.011585574778967342 0.6007471929423975 -0.6939322723293321 -0.37913062835015277 31.824059785230013 21.20681281873445 11.585574778961059 -600.4754927009758 693.9940218548817 379.13062834943764
0.03318153527960975 916.1006427741941 439.567884978115 1.2687616917309081e-08 -271.9429264529523 -61.86590767048009 1.1114255581833346e-06 -0.028044707744337247 -0.026186743764816018 -0.01406598618618897 0.7293060931065806 -0.5915404005881145 -0.32319375738944406 27.12860710156305 25.747175879837904 14.065986186176284 -729.0341501801277 591.6022664957851 323.19375738833264
0.04022692314380945 914.1838419325461 439.1316040886199 2.2023742992093232e-08 -272.18647819314225 -61.98283379554351 1.5412545974088093e-06 -0.022517981389187862 -0.029939561589506905 -0.016116398010751258 0.8355782433161573 -0.47106313110853115 -0.25737678891293275 21.60379754725531 29.500429985418286 16.116398010729235 -835.3060568379641 471.1251139423268 257.37678891139154
0.0472723134446475 912.2653214420573 438.6944973296885 3.439226006681218e-08 -272.43090199485755 -62.1003080187161 1.965649417157561e-06 -0.016330790458007137 -0.03279053157478523 -0.017674128565888212 0.9163148843612472 -0.33618347528830733 -0.18369176121986036 15.418525136565078 32.35183707745554 17.67412856585382 -916.0424534592524 336.24557559632615 183.69176121789474
0.05431770647353537 910.3450750590198 438.2565608064468 4.9618504946504437e-08 -272.67620328776195 -62.21833450196936 2.34648035928022e-06 -0.009672219577705563 -0.03465248508272716 -0.01869155740980557 0.9690478814381217 -0.1910247293373322 -0.10439124129853933 8.761874502646542 34.21422852192072 18.691557409755955 -968.775205234834 191.08694767183425 104.39124129619287
0.06136310243826617 908.4230965237701 437.8177905995791 6.727721212080163e-08 -272.9223875848271 -62.33691746806742 2.651509698913931e-06 -0.0027457637304462773 -0.03546848771274515 -0.019137581139858913 0.9921651758804443 -0.04002442490458788 -0.021899463739988148 1.8373406339225031 35.03066992214557 19.13758113979164 -991.8922534928595 40.08676182205605 21.899463737336674
0.06840850145697229 906.4993795618259 437.37818276534773 8.674896608783368e-08 -273.1694604834881 -62.45606119106452 2.858421354248736e-06 0.004236892562783787 -0.035213579874937076 -0.018998564272107322 0.9849600667541607 0.11220132667888108 0.061261778339905704 -5.143391942345617 34.77620169217173 18.998564272020573 -984.6868972936771 -112.13887061768992 -61.2617783427641
0.07545390355423331 904.5739178844528 436.9377333355539 1.0730006354971512e-07 -273.41742766188565 -62.57576998597118 2.957374426602716e-06 0.011062346448045907 -0.033895539904437486 -0.01827875613258276 0.9476528156931574 0.26099894957965397 0.14255022487440816 -11.966920365930363 33.45860217110194 18.27875613247546 -947.3793982654955 -260.9363738096679 -142.5502248773655
0.08249930866061446 902.6467051883399 436.4964383173568 1.2817439684833044e-07 -273.66629487111544 -62.69604819909589 2.9518458632594698e-06 0.01752200051401334 -0.03155464637699362 -0.017000161009696868 0.8813839144170409 0.4018196642290691 0.21948086625723207 -18.424647219201688 31.118149938676275 17.000161009568696 -881.1102481221698 -401.75696818086993 -219.4808662601839
0.08954471609444135 900.717735297164 436.05429372568074 1.4868526028696878e-07 -273.91606790632176 -62.81690019133491 2.857790875814701e-06 0.02341843929352736 -0.02826244715538701 -0.015201865681217792 0.7881792284365041 0.5303585358045665 0.2897019058741046 -24.31915702882453 27.826392861661336 15.20186568106911 -787.9053123685978 -530.295718904375 -289.7019058769624
0.0965901247019008 898.7870021235258 435.6112955746119 1.682959810847708e-07 -274.16675259964285 -62.93833033527978 2.7013642009208923e-06 0.028571464759630818 -0.02411957244743679 -0.01293884468241639 0.6708880728187214 0.6426860859188269 0.351066659896227 -29.470251761754348 23.683961151862185 12.938844682248098 -670.6139060661218 -642.6231475884915 -351.0666598989283
0.10363553420345416 896.854499299726 435.1674397926523 1.8668053431104162e-07 -274.41835485672965 -63.06034303645841 2.5155880515092642e-06 0.032823606197048244 -0.01925265768433256 -0.010280279266883602 0.5330960835823337 0.7353684418031933 0.40169919507830476 -33.72046069634798 18.817490244539915 10.280279266696926 -532.821665227477 -735.3053814601567 -401.69919508082035
0.11068094429258374 894.9202204239555 434.72272227900396 2.0375829181279838e-07 -274.6708806152368 -63.18294271920271 2.3364212990368587e-06 0.036044933302147295 -0.013810472456123303 -0.007307442634318602 0.37901560975559834 0.8055722911291747 0.4400516658388495 -36.939853522571255 13.375749733844309 7.307442634114847 -378.74093887498304 -805.5091081864554 -440.0516658411859
0.11772635464563844 892.9841590574181 434.27713890281467 2.1970032723639896e-07 -274.92433583806667 -63.3061338309107 2.198689390422035e-06 0.03813702821593942 -0.007959372551497078 -0.004111215368536817 0.2133569402751338 0.8511514961354598 0.4649516317734028 -39.03001237499684 7.525095412594275 4.11121536831712 -213.08201593929567 -851.0881900016288 -464.9516317756015
0.12477176493183813 891.0463087214342 433.8306855023689 2.3490780159378063e-07 -275.17872650987897 -63.42992084866286 2.1322934528190286e-06 0.0390359941977492 -0.0018782143764627035 -0.0007893071717336927 0.0411843091507558 0.8707127005545217 0.47563789888187 -39.92704050647065 1.444383690960347 0.789307171498788 -40.90913042424586 -870.6492706336728 -475.6378988840023
0.13181717482351682 889.1066628944789 433.3833578842045 2.499656712034263e-07 -275.4340586371391 -63.55430828751524 2.1590472781255593e-06 0.0387144089623268 0.004247112775649353 0.002556730170027191 -0.1322389191391668 0.8636579238556623 0.4717837889095266 -39.603515625221284 -4.680496133533544 -2.556730170277153 132.51435319780398 -863.5943695473746 -471.7837889116857
0.1388625840069253 887.1652150090393 432.93515182212536 2.65577125032086e-07 -275.6903382516585 -63.679300709715704 2.2904066690549166e-06 0.03718216296662847 0.010229369448248603 0.00582460727311748 -0.3016111513561197 0.8302028408084593 0.4535071255180185 -38.069328181637516 -10.662304600070716 -5.824607273383054 301.88684169437147 -830.1391615077495 -453.5071255203089
0.1459079921915832 885.2219584488228 432.4860630562342 2.824857092984395e-07 -275.9475714172125 -63.80490273402429 2.52626667542846e-06 0.03448615702214722 0.015885690010932544 0.008914424186030607 -0.4617546355509563 0.771370187662198 0.421366632064745 -35.37137898059605 -16.318176073988766 -8.914424186313088 462.03058312237357 -771.3063827594639 -421.36663206727127
