t r0x r0y r0z v0x v0y v0z r1x r1y r1z v1x v1y v1z r2x r2y r2z v2x v2y v2z
0.0 0.786726148263883 0.8198200545327138 -0.0 -0.3868404477567088 -0.1649220086068634 -0.0 -26.3908716087961 -27.32733515109046 0.0 12.894681591890294 -0.01650943199784738 -3.012262608205282 -25.8908716087961 -27.32733515109046 0.0 12.894681591890294 16.52521972468204 6.024525216410564
0.001 0.786339280871129 0.8196551044398472 1.81707939189198e-14 -0.3868943425575987 -0.16497818485895813 5.482792775077133e-11 -26.37789709326997 -27.327349862295822 -0.0030117870395272657 13.05431837811465 -0.012042747785487485 -3.01083614987268 -25.87813390057297 -27.310810719393082 0.006023574077237452 12.580797499530572 16.521903981466792 6.021672294262567
0.005 0.7847912719189326 0.8189947416091427 2.422399972657698e-12 -0.3871102106784043 -0.1652033545209685 1.489449778719304e-09 -26.324411622727688 -27.32728634816365 -0.015002235475860395 13.685477191903288 0.057384307056217124 -2.976968362257366 -25.830303946437887 -27.244901464586956 0.030004470709480792 11.340066684033856 16.40556683798442 5.953936575569754
0.009030192689947487 0.7832307041123094 0.8183284818291776 1.5080092628069298e-11 -0.38732817734698194 -0.16543097781535257 5.199414144387278e-09 -26.268019944149902 -27.326780537161536 -0.026858269373541577 14.29255878740264 0.20604204002643822 -2.8998572475927786 -25.787030522931143 -27.179287108594686 0.053716537239073894 10.147700159892915 16.131013701482384 5.799713975244143
0.013117842199049531 0.7816469896203682 0.8176517848001773 4.8450391252856315e-11 -0.3875497344761143 -0.16566262212194113 1.1586499759698246e-08 -26.208419350994664 -27.32550939641243 -0.03848607356813116 14.859156583780685 0.42641032671263995 -2.7836403974432864 -25.747860260047496 -27.114159687192874 0.0769721422912232 9.03666028005006 15.713441558768839 5.567279636236597
0.017295406977354995 0.7800275016596656 0.8169592225604885 1.1551514154266954e-10 -0.38777666949689754 -0.1659001720116719 2.1016196289195836e-08 -26.14524645322493 -27.323156022442106 -0.04981134358763923 15.372908531867362 0.7083976946890551 -2.6338657850663085 -25.712257259516708 -27.049610211164634 0.0996226756237643 8.031849885955033 15.173221811789084 5.267729468512988
0.021594207065568922 0.7783600243958639 0.8162455239472571 2.3224841385530525e-10 -0.3880107240991025 -0.16614547369951538 3.381063020342664e-08 -26.078161251767977 -27.3194092888217 -0.06076007304340103 15.825015917381975 1.0402916742736972 -2.456966172358398 -25.67967993605044 -26.985733817082316 0.12152012286196068 7.151040575146303 14.533964021404147 4.913928963653777
0.026045316659619865 0.7766324057251466 0.815505425259681 4.1814445067587417e-10 -0.3882536433803325 -0.16640038704306154 5.02387104282155e-08 -26.006833993457903 -27.31396290951877 -0.07126076087639702 16.210413987348574 1.4098512154396778 -2.259663268560473 -25.649572585598857 -26.92261670693055 0.14252147993834896 6.404536363336107 13.820336273426802 4.519321513249904
0.030680912322118004 0.7748320312535468 0.8147334430991805 6.968319323887831e-10 -0.3885072509060109 -0.16666686536930903 7.05058454257443e-08 -25.93092247767871 -27.30651201718058 -0.08124667796148487 16.527506869895852 1.805326285741093 -2.048412184889465 -25.621358169997258 -26.860320275556887 0.1624932862397765 5.795711350809387 13.056033965448721 4.096817319194387
0.03553575108438175 0.7729452450971785 0.8139236226825088 1.0968193417658481e-09 -0.3887735323453688 -0.16694704520881537 9.474343765731431e-08 -25.85004562468621 -27.296746196120868 -0.09065664331826583 16.777540004088376 2.2162312780628914 -1.8289805773709935 -25.59443326034544 -26.798869876009146 0.18131317695459748 5.32227322636013 12.26224196475576 3.6579516803982215
